ACC_X;ACC_Y;ACC_Z;Timestamps;YYYY-MO-DD;HH-MI-SS_SSS
1.5143;-0.1006;9.8629;8663;03/27/21;13:46:32:732
0.9481;-0.255;10.398;8684;03/27/21;13:46:32:753
0.9565;0.1257;9.517;8703;03/27/21;13:46:32:772
1.0271;0.3328;8.7317;8723;03/27/21;13:46:32:792
1.1672;0.6345;8.3522;8743;03/27/21;13:46:32:812
1.3707;0.7793;7.9906;8763;03/27/21;13:46:32:832
1.4365;1.0008;8.4455;8783;03/27/21;13:46:32:852
1.4664;1.0116;8.9232;8803;03/27/21;13:46:32:872
1.5766;0.9278;9.1315;8823;03/27/21;13:46:32:892
1.5191;0.9529;9.2404;8844;03/27/21;13:46:32:913
1.4353;1.1971;9.2548;8864;03/27/21;13:46:32:933
1.4425;1.257;9.2117;8884;03/27/21;13:46:32:953
1.4401;1.3707;9.1518;8903;03/27/21;13:46:32:972
1.4317;1.4305;9.1758;8923;03/27/21;13:46:32:992
1.4305;1.5131;9.1554;8943;03/27/21;13:46:33:012
1.5036;1.4808;9.2692;8963;03/27/21;13:46:33:032
1.5383;1.4928;9.4164;8983;03/27/21;13:46:33:052
1.506;1.482;9.5134;9003;03/27/21;13:46:33:072
1.4796;1.4605;9.6007;9023;03/27/21;13:46:33:092
1.494;1.1648;10.0197;9044;03/27/21;13:46:33:113
1.5227;1.1289;10.0987;9063;03/27/21;13:46:33:132
1.4629;1.2318;10.1514;9083;03/27/21;13:46:33:152
1.4437;1.8567;9.5433;9103;03/27/21;13:46:33:172
1.3372;2.0913;9.2751;9123;03/27/21;13:46:33:192
0.9541;1.9405;9.6606;9143;03/27/21;13:46:33:212
0.4142;-0.243;12.4498;9163;03/27/21;13:46:33:232
0.328;-1.3443;13.7906;9183;03/27/21;13:46:33:252
0.4908;-1.3994;13.4542;9204;03/27/21;13:46:33:273
0.9673;-0.595;10.5201;9223;03/27/21;13:46:33:292
1.1552;-0.346;9.5541;9243;03/27/21;13:46:33:312
0.9912;0.3053;8.6694;9263;03/27/21;13:46:33:332
0.7566;0.8056;8.3689;9283;03/27/21;13:46:33:352
0.3496;0.7518;9.4188;9303;03/27/21;13:46:33:372
0.1867;0.2131;10.5105;9324;03/27/21;13:46:33:393
0.1903;-0.1939;10.9642;9343;03/27/21;13:46:33:412
0.4465;-0.747;11.1259;9363;03/27/21;13:46:33:432
0.814;-0.322;9.9826;9384;03/27/21;13:46:33:453
1.0738;0.1305;8.9196;9403;03/27/21;13:46:33:472
1.1851;0.2382;8.4455;9423;03/27/21;13:46:33:492
1.148;0.2298;8.2959;9442;03/27/21;13:46:33:511
1.1337;0.267;8.4276;9463;03/27/21;13:46:33:532
0.9924;0.4908;8.5102;9483;03/27/21;13:46:33:552
0.9589;0.5519;8.7903;9504;03/27/21;13:46:33:573
0.8751;0.5004;9.0776;9524;03/27/21;13:46:33:593
0.8511;0.4549;9.2165;9543;03/27/21;13:46:33:612
0.8021;0.3424;9.6343;9565;03/27/21;13:46:33:634
0.7961;0.3615;9.6989;9582;03/27/21;13:46:33:651
0.8763;0.3891;9.7959;9603;03/27/21;13:46:33:672
0.905;0.4106;9.7707;9623;03/27/21;13:46:33:692
0.7925;0.5722;9.6319;9643;03/27/21;13:46:33:712
0.7087;0.662;9.6091;9663;03/27/21;13:46:33:732
0.4776;0.7745;9.6163;9683;03/27/21;13:46:33:752
0.3627;0.7554;9.6989;9702;03/27/21;13:46:33:771
0.3747;0.7039;9.7528;9723;03/27/21;13:46:33:792
0.407;0.5794;9.6426;9743;03/27/21;13:46:33:812
0.2897;0.559;9.4511;9763;03/27/21;13:46:33:832
0.2574;0.5291;9.4008;9783;03/27/21;13:46:33:852
0.2753;0.5052;9.3529;9803;03/27/21;13:46:33:872
0.3663;0.5052;9.3027;9823;03/27/21;13:46:33:892
0.5926;0.2921;9.7276;9844;03/27/21;13:46:33:913
0.5387;0.2837;9.8234;9862;03/27/21;13:46:33:931
0.6357;0.5459;9.7396;9883;03/27/21;13:46:33:952
0.8703;0.7877;9.6151;9903;03/27/21;13:46:33:972
1.0355;0.5902;9.9204;9923;03/27/21;13:46:33:992
1.2438;-0.2059;10.8278;9943;03/27/21;13:46:34:012
1.8112;-0.9649;10.89;9964;03/27/21;13:46:34:033
1.8364;-0.7183;10.5093;9983;03/27/21;13:46:34:052
1.749;-0.5375;9.9108;10003;03/27/21;13:46:34:072
1.6221;-0.4513;9.8474;10023;03/27/21;13:46:34:092
1.2761;-0.6524;10.2376;10043;03/27/21;13:46:34:112
0.923;-1.166;10.9846;10063;03/27/21;13:46:34:132
1.0846;-0.8715;10.2017;10083;03/27/21;13:46:34:152
1.4078;-0.3591;8.9902;10103;03/27/21;13:46:34:172
1.725;-0.2155;8.4707;10123;03/27/21;13:46:34:192
1.9501;-0.164;8.4946;10143;03/27/21;13:46:34:212
1.9309;-0.4752;9.5768;10163;03/27/21;13:46:34:232
1.9345;-0.5435;9.8893;10183;03/27/21;13:46:34:252
1.9405;-0.5219;9.93;10202;03/27/21;13:46:34:271
1.9824;-0.5112;9.815;10223;03/27/21;13:46:34:292
1.9082;-0.4729;9.7169;10243;03/27/21;13:46:34:312
1.5407;-0.1664;9.5948;10263;03/27/21;13:46:34:332
1.403;-0.0646;9.6043;10283;03/27/21;13:46:34:352
1.4186;0.0144;9.5732;10303;03/27/21;13:46:34:372
1.549;0.0563;9.572;10323;03/27/21;13:46:34:392
1.6664;0.1233;9.5732;10343;03/27/21;13:46:34:412
1.6771;0.2251;9.5397;10365;03/27/21;13:46:34:434
1.6664;0.2562;9.3745;10382;03/27/21;13:46:34:451
1.6029;0.3424;9.4774;10403;03/27/21;13:46:34:472
1.5826;0.3735;9.6259;10423;03/27/21;13:46:34:492
1.5766;0.3855;9.7576;10443;03/27/21;13:46:34:512
1.4521;0.395;9.8138;10464;03/27/21;13:46:34:533
1.4293;0.5004;9.6139;10483;03/27/21;13:46:34:552
1.3755;0.6321;9.4355;10503;03/27/21;13:46:34:572
1.3862;0.7302;9.3625;10523;03/27/21;13:46:34:592
1.2821;0.7937;9.347;10543;03/27/21;13:46:34:612
1.1851;0.8619;9.3685;10564;03/27/21;13:46:34:633
1.0906;0.9002;9.5636;10583;03/27/21;13:46:34:652
1.0798;0.9685;9.6534;10603;03/27/21;13:46:34:672
1.0175;0.8906;9.9707;10623;03/27/21;13:46:34:692
1.0044;1.0977;9.9012;10643;03/27/21;13:46:34:712
0.9876;1.5071;9.3853;10663;03/27/21;13:46:34:732
0.3783;1.2869;10.2484;10683;03/27/21;13:46:34:752
-0.0204;0.3855;11.3162;10703;03/27/21;13:46:34:772
0.164;0.1269;11.0672;10722;03/27/21;13:46:34:791
0.2837;0.2861;10.5393;10743;03/27/21;13:46:34:812
0.4429;0.4345;9.566;10763;03/27/21;13:46:34:832
0.2454;0.2921;10.1442;10783;03/27/21;13:46:34:852
0.0706;0.1245;10.3825;10803;03/27/21;13:46:34:872
-0.018;0.164;10.2197;10823;03/27/21;13:46:34:892
-0.2406;0.5543;9.5385;10843;03/27/21;13:46:34:912
-0.4441;1.087;8.7364;10864;03/27/21;13:46:34:933
-0.6081;1.4545;8.333;10883;03/27/21;13:46:34:952
-0.662;0.9505;9.0621;10903;03/27/21;13:46:34:972
-0.7123;0.3603;9.9252;10923;03/27/21;13:46:34:992
-0.6812;-0.0455;10.6362;10943;03/27/21;13:46:35:012
-0.5171;-0.0192;10.4375;10963;03/27/21;13:46:35:032
-0.3244;0.4298;9.4355;10984;03/27/21;13:46:35:053
-0.1065;0.7877;8.5509;11012;03/27/21;13:46:35:081
-0.1065;0.7877;8.5509;11023;03/27/21;13:46:35:092
-0.0024;0.9349;8.2815;11043;03/27/21;13:46:35:112
-0.1077;1.1935;8.8717;11063;03/27/21;13:46:35:132
-0.1077;1.1935;8.8717;11083;03/27/21;13:46:35:152
-0.146;1.324;9.1135;11103;03/27/21;13:46:35:172
-0.1101;1.3647;9.402;11123;03/27/21;13:46:35:192
-0.1257;1.3443;9.6438;11143;03/27/21;13:46:35:212
-0.2837;1.3599;9.8258;11163;03/27/21;13:46:35:232
-0.4381;1.3815;9.8797;11183;03/27/21;13:46:35:252
-0.5004;1.555;9.5828;11203;03/27/21;13:46:35:272
-0.4956;1.6676;9.3685;11223;03/27/21;13:46:35:292
-0.5279;1.7609;9.1854;11243;03/27/21;13:46:35:312
-0.4717;1.7945;9.0992;11263;03/27/21;13:46:35:332
-0.5866;1.7705;9.329;11283;03/27/21;13:46:35:352
-0.6476;1.7645;9.4499;11303;03/27/21;13:46:35:372
-0.7219;1.7813;9.5612;11322;03/27/21;13:46:35:391
-0.7649;1.7717;9.6558;11343;03/27/21;13:46:35:412
-0.7147;1.7777;9.6726;11363;03/27/21;13:46:35:432
-0.6512;1.7873;9.6007;11383;03/27/21;13:46:35:452
-0.6153;1.725;9.669;11403;03/27/21;13:46:35:472
-0.583;1.6137;9.9132;11422;03/27/21;13:46:35:491
-0.5531;1.549;10.1059;11444;03/27/21;13:46:35:513
-0.4477;1.5694;10.161;11463;03/27/21;13:46:35:532
0.1185;2.1751;9.6139;11482;03/27/21;13:46:35:551
0.4764;2.083;9.9311;11503;03/27/21;13:46:35:572
0.7075;1.336;10.7093;11523;03/27/21;13:46:35:592
0.5962;0.6416;11.6322;11543;03/27/21;13:46:35:612
0.0802;-0.5734;13.2124;11563;03/27/21;13:46:35:632
0.0455;-0.1664;12.3828;11583;03/27/21;13:46:35:652
0.1556;0.3388;10.5908;11603;03/27/21;13:46:35:672
0.6033;0.6644;9.0046;11623;03/27/21;13:46:35:692
0.7985;0.7745;8.4719;11643;03/27/21;13:46:35:712
1.1492;1.0451;7.6734;11663;03/27/21;13:46:35:732
1.2857;1.5886;7.2042;11683;03/27/21;13:46:35:752
1.5814;1.9357;7.1407;11703;03/27/21;13:46:35:772
1.8148;1.6712;7.4532;11723;03/27/21;13:46:35:792
1.3384;1.166;8.8753;11743;03/27/21;13:46:35:812
0.9301;0.3172;10.3705;11764;03/27/21;13:46:35:833
0.4681;-0.0215;11.0636;11783;03/27/21;13:46:35:852
0.4441;0.3735;10.2268;11803;03/27/21;13:46:35:872
0.5626;0.8128;9.013;11823;03/27/21;13:46:35:892
0.6967;1.1313;8.2504;11843;03/27/21;13:46:35:912
0.7757;1.2665;8.0038;11863;03/27/21;13:46:35:932
0.814;1.3779;8.4228;11882;03/27/21;13:46:35:951
0.8607;1.3719;8.9112;11904;03/27/21;13:46:35:973
0.8607;1.3719;8.9112;11923;03/27/21;13:46:35:992
0.8847;1.421;9.402;11943;03/27/21;13:46:36:012
0.8751;1.494;9.4272;11963;03/27/21;13:46:36:032
0.7374;1.6388;9.499;11983;03/27/21;13:46:36:052
0.7087;1.7633;9.4391;12004;03/27/21;13:46:36:073
0.6979;1.816;9.4355;12023;03/27/21;13:46:36:092
0.8176;1.9537;9.3733;12044;03/27/21;13:46:36:113
0.8224;1.9992;9.323;12064;03/27/21;13:46:36:133
0.8392;1.9668;9.3529;12083;03/27/21;13:46:36:152
0.8368;1.9082;9.5289;12103;03/27/21;13:46:36:172
0.8487;1.8328;9.6905;12123;03/27/21;13:46:36:192
0.8416;1.731;9.9994;12143;03/27/21;13:46:36:212
0.9194;1.5969;10.1993;12163;03/27/21;13:46:36:232
0.8811;1.731;10.3441;12183;03/27/21;13:46:36:252
0.972;2.32;9.4631;12203;03/27/21;13:46:36:272
0.3783;2.3272;9.7217;12224;03/27/21;13:46:36:293
0.0575;1.9824;10.3106;12243;03/27/21;13:46:36:312
-0.5327;0.8799;11.9411;12263;03/27/21;13:46:36:332
-0.2849;0.0563;12.8257;12283;03/27/21;13:46:36:352
0.2011;-0.1437;12.226;12303;03/27/21;13:46:36:372
0.3867;0.3519;11.1103;12323;03/27/21;13:46:36:392
0.5028;0.4609;10.2627;12343;03/27/21;13:46:36:412
0.3926;0.3615;9.8533;12363;03/27/21;13:46:36:432
0.2897;0.6764;9.0214;12383;03/27/21;13:46:36:452
-0.1772;1.4509;7.6351;12403;03/27/21;13:46:36:472
-0.2849;1.646;7.4651;12423;03/27/21;13:46:36:492
-0.5124;1.5622;8.0744;12443;03/27/21;13:46:36:512
-0.7661;0.844;9.3518;12463;03/27/21;13:46:36:532
-0.7721;-0.0084;10.6147;12483;03/27/21;13:46:36:552
-0.5255;-0.3244;11.0241;12502;03/27/21;13:46:36:571
-0.249;0.0575;10.1873;12523;03/27/21;13:46:36:592
0.2346;0.6045;8.8765;12543;03/27/21;13:46:36:612
0.1508;0.8619;8.0804;12563;03/27/21;13:46:36:632
0.2358;0.9589;7.829;12583;03/27/21;13:46:36:652
0.0718;1.3312;8.2468;12604;03/27/21;13:46:36:673
0.0718;1.3312;8.2468;12623;03/27/21;13:46:36:692
0.0275;1.5083;8.5581;12643;03/27/21;13:46:36:712
-0.0479;1.494;8.9471;12664;03/27/21;13:46:36:733
-0.073;1.3623;9.6055;12683;03/27/21;13:46:36:752
-0.0718;1.3312;9.7061;12703;03/27/21;13:46:36:772
-0.0718;1.3312;9.7145;12723;03/27/21;13:46:36:792
0.0251;1.4497;9.5014;12742;03/27/21;13:46:36:811
0.0994;1.5359;8.9759;12763;03/27/21;13:46:36:832
0.158;1.7142;8.9352;12784;03/27/21;13:46:36:853
0.1317;1.7262;8.9495;12804;03/27/21;13:46:36:873
0.0718;1.7753;8.9639;12823;03/27/21;13:46:36:892
0.103;1.7957;9.0633;12843;03/27/21;13:46:36:912
0.0431;1.749;9.4403;12863;03/27/21;13:46:36:932
-0.164;1.5215;10.2041;12883;03/27/21;13:46:36:952
-0.2406;1.4461;10.5824;12905;03/27/21;13:46:36:974
-0.2346;1.5598;10.6494;12923;03/27/21;13:46:36:992
-0.1006;2.065;10.422;12943;03/27/21;13:46:37:012
0.1389;2.3248;10.1957;12963;03/27/21;13:46:37:032
0.4369;2.1452;10.5082;12983;03/27/21;13:46:37:052
0.8021;0.2035;12.6917;13003;03/27/21;13:46:37:072
0.7147;-0.7159;13.4901;13023;03/27/21;13:46:37:092
0.5866;-0.7865;13.2711;13044;03/27/21;13:46:37:113
0.4238;-0.3388;11.6909;13064;03/27/21;13:46:37:133
0.3915;-0.1221;10.9247;13083;03/27/21;13:46:37:152
0.5447;0.6895;8.521;13103;03/27/21;13:46:37:172
0.9445;1.2462;7.5549;13123;03/27/21;13:46:37:192
1.1277;1.4784;7.3777;13143;03/27/21;13:46:37:212
1.2665;1.5909;7.9296;13163;03/27/21;13:46:37:232
1.2558;0.6548;9.5936;13183;03/27/21;13:46:37:252
1.1576;0.2346;10.2951;13203;03/27/21;13:46:37:272
1.0846;-0.0682;10.7117;13223;03/27/21;13:46:37:292
0.8906;0.2203;10.4363;13243;03/27/21;13:46:37:312
0.9517;0.4537;8.8705;13263;03/27/21;13:46:37:332
0.8164;0.7171;8.3294;13283;03/27/21;13:46:37:352
0.8092;0.923;8.2037;13303;03/27/21;13:46:37:372
0.6823;1.0163;8.5425;13323;03/27/21;13:46:37:392
0.5997;1.1408;8.7041;13343;03/27/21;13:46:37:412
0.7554;1.2198;8.9818;13364;03/27/21;13:46:37:433
0.8859;1.1468;9.1375;13383;03/27/21;13:46:37:452
1.0391;1.1241;9.0848;13403;03/27/21;13:46:37:472
0.9242;1.5215;9.2632;13424;03/27/21;13:46:37:493
0.7494;1.2905;9.3518;13443;03/27/21;13:46:37:512
0.6668;1.4473;9.3218;13462;03/27/21;13:46:37:531
0.7554;1.5479;9.1638;13483;03/27/21;13:46:37:552
0.68;1.6197;9.1506;13504;03/27/21;13:46:37:573
0.6991;1.7801;9.0225;13524;03/27/21;13:46:37:593
0.7099;1.8076;9.1075;13543;03/27/21;13:46:37:612
0.668;1.7957;9.1638;13563;03/27/21;13:46:37:632
0.6488;1.7514;9.3158;13583;03/27/21;13:46:37:652
0.6955;1.561;9.8414;13603;03/27/21;13:46:37:672
0.8356;1.4712;10.088;13623;03/27/21;13:46:37:692
0.8835;1.4497;10.2376;13643;03/27/21;13:46:37:712
0.923;2.3188;9.6331;13663;03/27/21;13:46:37:732
0.1556;2.1249;10.1263;13683;03/27/21;13:46:37:752
-0.4537;1.166;11.3916;13703;03/27/21;13:46:37:772
-0.6009;0.4369;12.4271;13723;03/27/21;13:46:37:792
-0.4525;-0.5638;13.4303;13744;03/27/21;13:46:37:813
-0.103;-0.425;12.311;13763;03/27/21;13:46:37:832
0.3065;0.1377;10.4579;13783;03/27/21;13:46:37:852
0.261;0.4106;9.572;13803;03/27/21;13:46:37:872
0.2442;0.8966;8.3462;13823;03/27/21;13:46:37:892
-0.0443;1.0475;7.9116;13843;03/27/21;13:46:37:912
-0.3412;1.3372;7.6674;13863;03/27/21;13:46:37:932
-0.5112;1.336;8.3749;13882;03/27/21;13:46:37:951
-0.2909;0.7458;9.3422;13903;03/27/21;13:46:37:972
-0.4094;-0.0646;10.6303;13923;03/27/21;13:46:37:992
-0.1975;-0.261;10.5297;13944;03/27/21;13:46:38:013
0.1975;0.2729;9.2332;13963;03/27/21;13:46:38:032
0.4106;0.6009;8.2899;13984;03/27/21;13:46:38:053
0.31;0.7554;8.1319;14003;03/27/21;13:46:38:072
0.0299;0.8296;8.4288;14023;03/27/21;13:46:38:092
-0.0778;0.8775;8.5856;14043;03/27/21;13:46:38:112
-0.1844;0.9541;8.8155;14063;03/27/21;13:46:38:132
-0.2646;1.1169;9.0154;14084;03/27/21;13:46:38:153
-0.2011;1.0977;9.1997;14103;03/27/21;13:46:38:172
-0.1939;1.069;9.5134;14124;03/27/21;13:46:38:193
-0.1101;1.1492;9.6163;14143;03/27/21;13:46:38:212
-0.0036;1.2857;9.4583;14163;03/27/21;13:46:38:232
0.1293;1.3898;9.2548;14184;03/27/21;13:46:38:253
0.1448;1.4808;9.1063;14203;03/27/21;13:46:38:272
0.1353;1.5107;9.0788;14224;03/27/21;13:46:38:293
0.1353;1.5622;9.0668;14243;03/27/21;13:46:38:312
0.1317;1.6065;9.3805;14263;03/27/21;13:46:38:332
0.0802;1.3491;9.8797;14283;03/27/21;13:46:38:352
0.0706;0.9673;10.5201;14303;03/27/21;13:46:38:372
0.1053;0.8464;10.8254;14323;03/27/21;13:46:38:392
0.1149;1.2031;10.6374;14343;03/27/21;13:46:38:412
0.5459;2.0135;9.5708;14363;03/27/21;13:46:38:432
1.0606;1.7873;9.6391;14383;03/27/21;13:46:38:452
0.8847;0.51;11.0325;14403;03/27/21;13:46:38:472
0.0204;-1.1684;13.7116;14423;03/27/21;13:46:38:492
-0.3376;-1.5969;14.376;14443;03/27/21;13:46:38:512
-0.0455;-0.6153;12.1649;14464;03/27/21;13:46:38:533
0.8835;0.4154;8.837;14484;03/27/21;13:46:38:553
1.257;0.7841;7.9021;14502;03/27/21;13:46:38:571
1.5167;0.9565;7.8039;14523;03/27/21;13:46:38:592
1.8411;1.2617;7.9033;14544;03/27/21;13:46:38:613
1.9237;1.136;8.3737;14564;03/27/21;13:46:38:633
1.9884;0.5914;8.9304;14584;03/27/21;13:46:38:653
1.5933;-0.0168;10.0197;14603;03/27/21;13:46:38:672
1.1887;-0.328;10.726;14622;03/27/21;13:46:38:691
1.0403;-0.2646;10.6686;14643;03/27/21;13:46:38:712
0.9278;0.1077;9.7899;14662;03/27/21;13:46:38:731
0.8655;0.6189;8.5473;14683;03/27/21;13:46:38:752
0.8727;0.7841;8.2349;14703;03/27/21;13:46:38:772
0.808;0.826;8.4922;14723;03/27/21;13:46:38:792
0.7901;0.8236;8.8562;14743;03/27/21;13:46:38:812
0.893;0.7721;9.2476;14763;03/27/21;13:46:38:832
0.8978;0.7841;9.5445;14783;03/27/21;13:46:38:852
0.8128;0.7542;9.6977;14803;03/27/21;13:46:38:872
0.7661;0.814;9.6606;14825;03/27/21;13:46:38:894
0.7482;1.154;9.2775;14845;03/27/21;13:46:38:914
0.7733;1.2342;9.1794;14863;03/27/21;13:46:38:932
0.7338;1.3862;9.1842;14884;03/27/21;13:46:38:953
0.6692;1.4329;9.2069;14903;03/27/21;13:46:38:972
0.6249;1.4473;9.2692;14923;03/27/21;13:46:38:992
0.6536;1.4748;9.2943;14943;03/27/21;13:46:39:012
0.6955;1.5024;9.4284;14963;03/27/21;13:46:39:032
0.832;1.4653;9.5146;14983;03/27/21;13:46:39:052
0.9397;1.3479;9.8102;15002;03/27/21;13:46:39:071
1.0654;1.1684;10.2735;15023;03/27/21;13:46:39:092
1.069;1.1492;10.7093;15043;03/27/21;13:46:39:112
1.1839;1.7226;10.319;15063;03/27/21;13:46:39:132
0.4944;1.6448;10.2831;15083;03/27/21;13:46:39:152
-0.0862;0.419;11.8681;15103;03/27/21;13:46:39:172
-0.2107;-0.3077;12.8569;15123;03/27/21;13:46:39:192
0.1006;-0.9242;13.4937;15143;03/27/21;13:46:39:212
0.4573;-0.3867;11.1139;15163;03/27/21;13:46:39:232
0.5626;0.0934;9.335;15183;03/27/21;13:46:39:252
0.3388;0.4764;8.4563;15203;03/27/21;13:46:39:272
0.2705;0.7458;8.0709;15222;03/27/21;13:46:39:291
0.0599;1.257;7.4915;15243;03/27/21;13:46:39:312
-0.3292;1.5071;8.114;15263;03/27/21;13:46:39:332
-0.328;1.0187;9.0824;15283;03/27/21;13:46:39:352
-0.1448;0.2047;10.0724;15303;03/27/21;13:46:39:372
-0.1065;-0.146;10.6315;15323;03/27/21;13:46:39:392
-0.0204;-0.3508;11.1115;15343;03/27/21;13:46:39:412
0.3424;0.346;9.5289;15363;03/27/21;13:46:39:432
0.4561;0.7326;8.5353;15383;03/27/21;13:46:39:452
0.4609;0.9254;8.0816;15403;03/27/21;13:46:39:472
0.3292;0.9565;8.1247;15423;03/27/21;13:46:39:492
0.1197;0.9002;8.3989;15444;03/27/21;13:46:39:513
-0.0275;0.9014;8.8274;15463;03/27/21;13:46:39:532
-0.1221;1.002;8.995;15482;03/27/21;13:46:39:551
-0.1484;1.1576;8.9615;15504;03/27/21;13:46:39:573
-0.1197;1.2522;9.0058;15523;03/27/21;13:46:39:592
-0.0263;1.3312;8.9986;15543;03/27/21;13:46:39:612
-0.0491;1.3551;9.487;15563;03/27/21;13:46:39:632
0.0802;1.3827;9.5265;15583;03/27/21;13:46:39:652
0.1425;1.4569;9.4284;15604;03/27/21;13:46:39:673
0.2634;1.549;9.1686;15623;03/27/21;13:46:39:692
0.3017;1.5658;9.0776;15644;03/27/21;13:46:39:713
0.3065;1.6281;9.2584;15662;03/27/21;13:46:39:731
0.1927;1.5658;9.6043;15686;03/27/21;13:46:39:755
0.1006;1.4928;9.8689;15703;03/27/21;13:46:39:772
0.1281;1.4617;9.8581;15722;03/27/21;13:46:39:791
0.1676;1.4102;9.9826;15743;03/27/21;13:46:39:812
0.1472;1.7573;9.809;15763;03/27/21;13:46:39:832
0.5064;2.2218;9.7887;15783;03/27/21;13:46:39:852
0.674;1.3647;10.5572;15803;03/27/21;13:46:39:872
0.7901;0.6452;11.1654;15823;03/27/21;13:46:39:892
0.2825;-0.4058;12.9131;15843;03/27/21;13:46:39:912
0.3316;-0.2981;11.8142;15863;03/27/21;13:46:39:932
0.2969;0.31;10.2891;15882;03/27/21;13:46:39:951
0.4118;0.5758;9.3577;15904;03/27/21;13:46:39:973
0.6237;0.7793;8.7269;15923;03/27/21;13:46:39:992
0.7913;0.9325;8.5485;15943;03/27/21;13:46:40:012
0.8906;1.2989;8.5688;15962;03/27/21;13:46:40:031
1.4784;1.4066;8.57;15983;03/27/21;13:46:40:052
1.664;0.6632;9.7995;16004;03/27/21;13:46:40:073
1.664;0.6632;9.7995;16023;03/27/21;13:46:40:092
1.3372;-0.1089;11.1378;16043;03/27/21;13:46:40:112
1.1504;-0.3053;11.3725;16063;03/27/21;13:46:40:132
1.0475;0.176;9.6905;16084;03/27/21;13:46:40:153
0.9816;0.5626;8.7915;16103;03/27/21;13:46:40:172
1.0139;0.8667;8.1523;16123;03/27/21;13:46:40:192
0.9673;0.9469;8.1343;16143;03/27/21;13:46:40:212
0.8835;1.1145;8.57;16163;03/27/21;13:46:40:232
1.0044;1.0558;9.0094;16184;03/27/21;13:46:40:253
1.1229;1.0163;9.4044;16203;03/27/21;13:46:40:272
1.1061;0.9972;9.5852;16223;03/27/21;13:46:40:292
1.0989;1.0463;9.6223;16243;03/27/21;13:46:40:312
0.8859;1.1935;9.4655;16264;03/27/21;13:46:40:333
0.8894;1.2079;9.42;16283;03/27/21;13:46:40:352
0.8751;1.3539;9.2033;16303;03/27/21;13:46:40:372
0.8607;1.4365;9.104;16323;03/27/21;13:46:40:392
0.8775;1.4892;8.9866;16342;03/27/21;13:46:40:411
0.7961;1.5191;9.0824;16362;03/27/21;13:46:40:431
0.8212;1.4629;9.2057;16383;03/27/21;13:46:40:452
0.7733;1.4078;9.5421;16403;03/27/21;13:46:40:472
0.899;1.3982;9.5361;16423;03/27/21;13:46:40:492
0.8918;1.4365;9.6235;16443;03/27/21;13:46:40:512
0.984;1.4078;9.5948;16463;03/27/21;13:46:40:532
1.0116;1.4389;9.5505;16482;03/27/21;13:46:40:551
0.9924;1.7526;9.2177;16503;03/27/21;13:46:40:572
0.9266;1.7154;9.2165;16523;03/27/21;13:46:40:592
0.5567;1.0798;10.076;16543;03/27/21;13:46:40:612
0.085;0.1628;11.0289;16563;03/27/21;13:46:40:632
0.097;0.1879;10.726;16583;03/27/21;13:46:40:652
0.1161;0.2406;10.1885;16603;03/27/21;13:46:40:672
0.2466;0.2658;9.6259;16625;03/27/21;13:46:40:694
0.1915;0.2286;9.5325;16643;03/27/21;13:46:40:712
-0.0563;0.1724;9.8976;16662;03/27/21;13:46:40:731
-0.2023;0.2777;10.0329;16683;03/27/21;13:46:40:752
-0.4549;0.6428;9.4703;16703;03/27/21;13:46:40:772
-0.5255;0.5902;9.5193;16723;03/27/21;13:46:40:792
-0.5136;0.3627;9.8916;16743;03/27/21;13:46:40:812
-0.4453;0.2298;10.1131;16763;03/27/21;13:46:40:832
-0.1041;0.0766;10.3669;16783;03/27/21;13:46:40:852
0.0754;0.2849;9.8725;16804;03/27/21;13:46:40:873
0.1377;0.5339;9.3518;16823;03/27/21;13:46:40:892
0.0551;0.5842;9.2991;16843;03/27/21;13:46:40:912
-0.1484;0.583;9.2859;16863;03/27/21;13:46:40:932
-0.2179;0.5447;9.4906;16883;03/27/21;13:46:40:952
-0.2658;0.6081;9.6067;16903;03/27/21;13:46:40:972
-0.2909;0.7135;9.4822;16923;03/27/21;13:46:40:992
-0.2969;0.7278;9.4272;16943;03/27/21;13:46:41:012
-0.164;0.7159;9.2608;16963;03/27/21;13:46:41:032
-0.0395;0.6428;9.2967;16983;03/27/21;13:46:41:052
0.1006;0.5219;9.4152;17003;03/27/21;13:46:41:072
0.1245;0.5028;9.4104;17023;03/27/21;13:46:41:092
0.0958;0.5626;9.341;17043;03/27/21;13:46:41:112
0.0299;0.6883;9.232;17063;03/27/21;13:46:41:132
-0.0527;0.6955;9.4822;17083;03/27/21;13:46:41:152
-0.0826;0.6009;9.8438;17103;03/27/21;13:46:41:172
-0.0658;0.5842;9.9048;17124;03/27/21;13:46:41:193
-0.0575;0.6967;9.8222;17143;03/27/21;13:46:41:212
0.0108;0.8811;9.6833;17163;03/27/21;13:46:41:232
0.2143;0.832;9.9084;17184;03/27/21;13:46:41:253
0.1987;0.6129;10.5022;17203;03/27/21;13:46:41:272
0.255;0.7123;10.4028;17223;03/27/21;13:46:41:292
0.2646;0.8296;10.1406;17243;03/27/21;13:46:41:312
0.2777;1.0534;9.5864;17263;03/27/21;13:46:41:332
0.3041;1.0834;9.3338;17283;03/27/21;13:46:41:352
0.2837;0.9768;9.3422;17303;03/27/21;13:46:41:372
0.3567;1.0331;9.5158;17324;03/27/21;13:46:41:393
0.5207;1.0163;9.5624;17344;03/27/21;13:46:41:413
