ACC_X;ACC_Y;ACC_Z;Timestamps;YYYY-MO-DD;HH-MI-SS_SSS
1.1396;1.6293;9.1602;2023;03/27/21;13:46:26:092
1.1552;1.6927;8.9974;2043;03/27/21;13:46:26:112
1.1289;1.7633;8.9603;2063;03/27/21;13:46:26:132
0.978;1.8507;9.2165;2084;03/27/21;13:46:26:153
1.0678;1.9549;9.2009;2103;03/27/21;13:46:26:172
1.1396;2.0111;9.1722;2123;03/27/21;13:46:26:192
1.2163;2.0949;9.1111;2143;03/27/21;13:46:26:212
1.2019;1.9501;9.4619;2163;03/27/21;13:46:26:232
1.5215;1.8507;9.7659;2183;03/27/21;13:46:26:252
1.2689;1.81;10.0281;2203;03/27/21;13:46:26:272
1.1648;1.7538;10.2651;2223;03/27/21;13:46:26:292
0.8894;2.1883;10.1969;2243;03/27/21;13:46:26:312
0.2059;2.5055;10.2484;2263;03/27/21;13:46:26:332
0.2059;2.5055;10.2484;2282;03/27/21;13:46:26:351
-0.3974;1.3815;11.6717;2303;03/27/21;13:46:26:372
-0.7745;-0.2095;13.8744;2323;03/27/21;13:46:26:392
-0.6321;-0.7338;13.6266;2343;03/27/21;13:46:26:412
-0.2538;-0.5291;10.8517;2363;03/27/21;13:46:26:432
0.1281;0.3077;8.8861;2382;03/27/21;13:46:26:451
0.3304;0.9457;7.8913;2403;03/27/21;13:46:26:472
0.3089;1.0391;7.9583;2423;03/27/21;13:46:26:492
0.0706;0.9828;9.0585;2443;03/27/21;13:46:26:512
-0.2251;0.7159;9.9024;2463;03/27/21;13:46:26:532
-0.3436;0.5124;10.1861;2483;03/27/21;13:46:26:552
-0.2538;0.2717;9.997;2503;03/27/21;13:46:26:572
-0.0886;0.4681;9.3039;2523;03/27/21;13:46:26:592
0.0335;0.6728;8.5341;2543;03/27/21;13:46:26:612
0.1987;0.9792;8.1379;2563;03/27/21;13:46:26:632
0.2646;1.1959;8.0529;2583;03/27/21;13:46:26:652
0.2442;1.2821;8.1894;2603;03/27/21;13:46:26:672
0.0551;1.3324;8.5054;2624;03/27/21;13:46:26:693
-0.0132;1.3527;8.8178;2644;03/27/21;13:46:26:713
-0.0958;1.4066;9.1506;2664;03/27/21;13:46:26:733
-0.1197;1.415;9.3565;2684;03/27/21;13:46:26:753
-0.0742;1.8304;9.2548;2703;03/27/21;13:46:26:772
0.3041;1.6616;9.1028;2723;03/27/21;13:46:26:792
0.1867;1.7334;9.0166;2743;03/27/21;13:46:26:812
0.3124;1.9046;8.7915;2763;03/27/21;13:46:26:832
0.4322;1.9489;8.734;2783;03/27/21;13:46:26:852
0.4166;1.9106;9.098;2804;03/27/21;13:46:26:873
0.3496;1.9321;9.4667;2823;03/27/21;13:46:26:892
0.4034;2.1009;9.4774;2843;03/27/21;13:46:26:912
0.2933;1.9357;9.8509;2863;03/27/21;13:46:26:932
0.2897;1.8399;10.0114;2884;03/27/21;13:46:26:953
0.0371;1.6101;10.7009;2903;03/27/21;13:46:26:972
-0.1053;1.919;11.1079;2922;03/27/21;13:46:26:991
0.4357;2.2182;11.0397;2943;03/27/21;13:46:27:012
0.8775;2.0446;11.7184;2963;03/27/21;13:46:27:032
1.0702;-0.6788;13.526;2983;03/27/21;13:46:27:052
0.8104;-0.7889;12.8305;3003;03/27/21;13:46:27:072
1.0116;-0.7266;10.8541;3023;03/27/21;13:46:27:092
0.972;-0.3915;9.9084;3043;03/27/21;13:46:27:112
0.8847;0.0156;9.9084;3063;03/27/21;13:46:27:132
1.0798;1.2426;7.5417;3084;03/27/21;13:46:27:153
1.409;1.415;7.1742;3103;03/27/21;13:46:27:172
1.4329;1.0618;8.4503;3123;03/27/21;13:46:27:192
1.245;0.3412;9.6043;3143;03/27/21;13:46:27:212
1.0463;-0.2993;10.4806;3163;03/27/21;13:46:27:232
0.917;-0.2753;10.5584;3183;03/27/21;13:46:27:252
0.9744;0.1903;9.7049;3204;03/27/21;13:46:27:273
0.9948;0.559;8.7197;3223;03/27/21;13:46:27:292
1.0151;0.6835;8.0697;3243;03/27/21;13:46:27:312
0.8535;1.1121;7.9368;3263;03/27/21;13:46:27:332
0.8535;1.1121;7.9368;3283;03/27/21;13:46:27:352
0.7709;1.2785;7.8949;3302;03/27/21;13:46:27:371
0.9481;1.5263;8.2133;3323;03/27/21;13:46:27:392
0.9936;1.4928;8.4515;3343;03/27/21;13:46:27:412
1.2222;1.342;9.2596;3363;03/27/21;13:46:27:432
1.2989;1.3336;9.3338;3383;03/27/21;13:46:27:452
1.4054;1.4018;9.4032;3403;03/27/21;13:46:27:472
1.3611;1.5203;9.4188;3424;03/27/21;13:46:27:493
1.3611;1.5203;9.4188;3443;03/27/21;13:46:27:512
1.1504;1.7813;9.2273;3463;03/27/21;13:46:27:532
1.0451;1.9453;9.0752;3483;03/27/21;13:46:27:552
1.0092;1.9405;9.3661;3504;03/27/21;13:46:27:573
1.2809;1.9429;9.4308;3523;03/27/21;13:46:27:592
1.3719;1.7166;9.7779;3543;03/27/21;13:46:27:612
1.3156;1.6688;10.1071;3563;03/27/21;13:46:27:632
1.5155;1.6831;10.5129;3583;03/27/21;13:46:27:652
1.6352;2.3379;9.9491;3603;03/27/21;13:46:27:672
1.5167;2.6181;9.6869;3623;03/27/21;13:46:27:692
0.8643;2.3499;10.2556;3643;03/27/21;13:46:27:712
0.0599;0.65;12.9478;3663;03/27/21;13:46:27:732
0.1616;-1.3695;14.7567;3683;03/27/21;13:46:27:752
0.4357;-1.0618;12.9981;3703;03/27/21;13:46:27:772
0.4956;-0.5938;11.8429;3723;03/27/21;13:46:27:792
0.6177;0.6871;7.8805;3743;03/27/21;13:46:27:812
0.6177;0.6871;7.8805;3763;03/27/21;13:46:27:832
0.1616;1.2127;7.197;3783;03/27/21;13:46:27:852
-0.6393;1.2426;9.007;3803;03/27/21;13:46:27:872
-0.65;1.0008;9.578;3823;03/27/21;13:46:27:892
-0.5578;0.4166;10.2627;3845;03/27/21;13:46:27:914
-0.2717;0.1927;9.8964;3864;03/27/21;13:46:27:933
0.0443;0.723;8.8957;3883;03/27/21;13:46:27:952
0.3998;0.9517;8.3103;3904;03/27/21;13:46:27:973
0.4477;1.0379;8.1666;3923;03/27/21;13:46:27:992
0.4034;1.0403;8.2013;3943;03/27/21;13:46:28:012
0.3124;1.0666;8.3905;3962;03/27/21;13:46:28:031
0.2586;1.2306;8.1965;3983;03/27/21;13:46:28:052
0.1413;1.3396;8.3091;4004;03/27/21;13:46:28:073
0.1413;1.3396;8.3091;4023;03/27/21;13:46:28:092
0.0407;1.3479;8.5341;4043;03/27/21;13:46:28:112
-0.1065;1.3372;9.0824;4063;03/27/21;13:46:28:132
-0.0922;1.3874;9.0776;4084;03/27/21;13:46:28:153
-0.0539;1.4018;9.0776;4105;03/27/21;13:46:28:174
0.1365;1.4664;9.068;4123;03/27/21;13:46:28:192
0.1437;1.6293;9.147;4143;03/27/21;13:46:28:212
0.158;1.9082;9.0621;4163;03/27/21;13:46:28:232
0.2071;2.0207;9.0309;4183;03/27/21;13:46:28:252
0.1628;2.0087;9.3613;4203;03/27/21;13:46:28:272
0.2322;1.8651;9.7887;4223;03/27/21;13:46:28:292
0.237;1.7753;10.0341;4242;03/27/21;13:46:28:311
0.103;1.3156;11.0265;4263;03/27/21;13:46:28:332
0.17;1.8747;10.7272;4283;03/27/21;13:46:28:352
0.17;1.8747;10.7272;4303;03/27/21;13:46:28:372
0.6464;2.0243;10.6877;4323;03/27/21;13:46:28:392
0.7721;0.5507;12.2188;4344;03/27/21;13:46:28:413
0.3424;-1.1013;14.1497;4363;03/27/21;13:46:28:432
0.2849;-0.8918;12.6486;4382;03/27/21;13:46:28:451
0.6237;0.1053;9.9455;4403;03/27/21;13:46:28:472
1.069;0.9673;7.8865;4423;03/27/21;13:46:28:492
1.1576;1.2869;7.5226;4443;03/27/21;13:46:28:512
1.0965;1.0163;8.5653;4463;03/27/21;13:46:28:532
0.9649;0.4501;9.8102;4483;03/27/21;13:46:28:552
0.7195;-0.0898;10.6374;4504;03/27/21;13:46:28:573
0.8188;-0.2095;10.1598;4523;03/27/21;13:46:28:592
1.1049;-0.018;9.6067;4543;03/27/21;13:46:28:612
0.8452;0.5531;8.2971;4563;03/27/21;13:46:28:632
0.662;0.8128;8.2277;4582;03/27/21;13:46:28:651
0.5195;0.99;8.0601;4603;03/27/21;13:46:28:672
0.504;1.0798;8.0673;4623;03/27/21;13:46:28:692
0.4788;1.2186;8.2672;4643;03/27/21;13:46:28:712
0.4633;1.2318;8.6862;4663;03/27/21;13:46:28:732
0.48;1.1133;9.0908;4683;03/27/21;13:46:28:752
0.6249;1.087;9.2512;4703;03/27/21;13:46:28:772
0.6847;1.1456;9.3063;4723;03/27/21;13:46:28:792
0.808;1.2737;9.232;4743;03/27/21;13:46:28:812
0.7937;1.4114;9.347;4763;03/27/21;13:46:28:832
0.589;1.5538;9.4906;4783;03/27/21;13:46:28:852
0.4226;1.7825;9.5158;4803;03/27/21;13:46:28:872
0.486;1.8806;9.3254;4823;03/27/21;13:46:28:892
0.4477;1.798;9.3087;4843;03/27/21;13:46:28:912
0.48;1.798;9.3087;4863;03/27/21;13:46:28:932
0.5543;1.4808;9.9335;4884;03/27/21;13:46:28:953
0.5543;1.4808;9.9335;4902;03/27/21;13:46:28:971
0.8068;1.1468;10.7715;4923;03/27/21;13:46:28:992
1.0534;1.6939;9.8988;4942;03/27/21;13:46:29:011
0.7817;1.9345;9.4822;4963;03/27/21;13:46:29:032
-0.1556;1.1432;11.06;4983;03/27/21;13:46:29:052
-0.504;-0.7242;13.4997;5003;03/27/21;13:46:29:072
-0.1233;-1.3048;13.9151;5023;03/27/21;13:46:29:092
0.0958;-0.8212;12.3206;5043;03/27/21;13:46:29:112
0.0958;-0.8212;12.3206;5063;03/27/21;13:46:29:132
0.4429;0.3747;8.3007;5083;03/27/21;13:46:29:152
0.2909;0.9481;7.2568;5103;03/27/21;13:46:29:172
0.0778;1.0989;7.1204;5123;03/27/21;13:46:29:192
-0.4764;1.1277;8.1906;5143;03/27/21;13:46:29:212
-0.6488;0.5327;9.8234;5163;03/27/21;13:46:29:232
-0.5052;-0.1293;10.4507;5183;03/27/21;13:46:29:252
-0.3723;-0.1796;10.2197;5203;03/27/21;13:46:29:272
-0.2274;-0.0754;9.8342;5223;03/27/21;13:46:29:292
-0.0311;0.395;9.068;5243;03/27/21;13:46:29:312
0.0982;0.7793;8.321;5263;03/27/21;13:46:29:332
0.0527;0.8475;8.3426;5282;03/27/21;13:46:29:351
0.0347;0.8535;8.57;5302;03/27/21;13:46:29:371
0.0036;0.8631;8.685;5323;03/27/21;13:46:29:392
0.0838;0.9301;8.7197;5343;03/27/21;13:46:29:412
-0.0299;0.9888;8.8262;5363;03/27/21;13:46:29:432
-0.164;0.9804;9.1351;5383;03/27/21;13:46:29:452
-0.1532;0.9301;9.4786;5403;03/27/21;13:46:29:472
-0.1089;0.9385;9.5612;5423;03/27/21;13:46:29:492
-0.0192;0.9864;9.651;5443;03/27/21;13:46:29:512
0.1293;1.1971;9.2237;5463;03/27/21;13:46:29:532
0.152;1.3659;8.9172;5483;03/27/21;13:46:29:552
0.1197;1.6053;8.8166;5503;03/27/21;13:46:29:572
0.0694;1.7382;8.8585;5523;03/27/21;13:46:29:592
-0.0012;1.7813;9.1578;5543;03/27/21;13:46:29:612
-0.0455;1.4222;10.0868;5563;03/27/21;13:46:29:632
-0.0132;1.0379;10.7488;5583;03/27/21;13:46:29:652
-0.1963;1.142;11.0492;5603;03/27/21;13:46:29:672
-0.0251;1.5083;10.6997;5624;03/27/21;13:46:29:693
0.5602;1.9249;10.1921;5643;03/27/21;13:46:29:712
0.6536;0.2753;12.3912;5663;03/27/21;13:46:29:732
0.7326;-0.9541;13.8349;5683;03/27/21;13:46:29:752
0.4992;-1.0714;13.3728;5703;03/27/21;13:46:29:772
0.6931;-0.8535;12.0847;5723;03/27/21;13:46:29:792
0.9218;0.0491;9.7468;5743;03/27/21;13:46:29:812
1.227;0.8906;7.9679;5763;03/27/21;13:46:29:832
1.3587;1.2486;7.4843;5783;03/27/21;13:46:29:852
1.2737;1.1516;8.0888;5803;03/27/21;13:46:29:872
1.1313;0.5878;9.1614;5823;03/27/21;13:46:29:892
0.9637;-0.1209;10.0724;5843;03/27/21;13:46:29:912
0.7877;-0.3364;10.2927;5862;03/27/21;13:46:29:931
0.7027;-0.1472;9.5768;5883;03/27/21;13:46:29:952
0.6225;0.2969;8.6479;5903;03/27/21;13:46:29:972
0.5207;0.6847;7.9643;5923;03/27/21;13:46:29:992
0.4908;0.9337;7.7285;5943;03/27/21;13:46:30:012
0.5004;1.1085;8.1175;5963;03/27/21;13:46:30:032
0.5698;1.0546;8.6443;5983;03/27/21;13:46:30:052
0.6728;0.8966;9.2177;6002;03/27/21;13:46:30:071
0.7769;0.8033;9.3865;6023;03/27/21;13:46:30:092
0.8523;0.7302;9.7659;6043;03/27/21;13:46:30:112
0.9637;0.8296;9.9647;6063;03/27/21;13:46:30:132
0.9637;1.0858;9.6881;6083;03/27/21;13:46:30:152
0.9301;1.4246;9.2751;6103;03/27/21;13:46:30:172
0.8871;1.5718;9.1171;6123;03/27/21;13:46:30:192
0.8272;1.7585;8.8861;6143;03/27/21;13:46:30:212
0.6823;1.7789;9.1255;6163;03/27/21;13:46:30:232
0.6345;1.6364;9.5409;6183;03/27/21;13:46:30:252
0.7362;1.4784;9.7851;6203;03/27/21;13:46:30:272
0.7841;1.415;9.9024;6225;03/27/21;13:46:30:294
1.0247;1.1037;10.3513;6244;03/27/21;13:46:30:313
0.9864;1.1217;10.4866;6265;03/27/21;13:46:30:334
0.899;1.6029;10.3848;6283;03/27/21;13:46:30:352
0.4872;1.8914;10.3884;6303;03/27/21;13:46:30:372
0.1616;1.8064;10.6925;6323;03/27/21;13:46:30:392
-0.3926;0.4573;12.6186;6343;03/27/21;13:46:30:412
-0.1975;-1.0008;13.5248;6363;03/27/21;13:46:30:432
0.2406;-0.8428;12.1111;6383;03/27/21;13:46:30:452
